controller,error_provider,route_shape,route_min_length_m,route_length_tolerance,noise_lateral_std,noise_heading_std_deg,time,x,y,speed,speed_error,e_y,e_psi,abs_e_y,abs_e_psi,steer,steer_delta,throttle,brake,target_speed,route_index,closest_route_index,route_error,road_option,target_x,target_y,target_yaw,lqr_q_ey,lqr_q_ey_dot,lqr_q_epsi,lqr_q_epsi_dot,lqr_r,lqr_kp_long,lqr_ki_long,lqr_kd_long,lqr_max_steer,lqr_max_steer_rate,mpc_horizon,mpc_q_y,mpc_q_psi,mpc_r_steer,mpc_r_steer_rate,mpc_kp_long,mpc_ki_long,mpc_kd_long,mpc_max_steer,mpc_max_steer_rate,pid_lat_kp,pid_lat_ki,pid_lat_kd,pid_long_kp,pid_long_ki,pid_long_kd,pid_max_throttle,pid_max_brake
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,18.81526792049408,80.3220443725586,13.40713882446289,6.033807325842078,7.855081563046811,1.5505064749945716e-05,-1.5712650432320174e-05,1.5505064749945716e-05,1.5712650432320174e-05,2.376207703491673e-05,7.511498552048579e-07,1.0,0.0,13.88888888888889,13,8,5.2468085289001465,RoadOption.STRAIGHT,70.07527160644531,13.378684997558594,3.144371129555073,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,18.865267921239138,80.0124282836914,13.406277656555176,6.3016213758361665,7.587267513052723,1.6409893866455028e-05,-1.4114753778216027e-05,1.6409893866455028e-05,1.4114753778216027e-05,1.235071431437973e-05,-1.1411362720537e-05,1.0,0.0,13.88888888888889,14,8,4.937191009521484,RoadOption.STRAIGHT,69.07527923583984,13.375905990600586,3.144371129555073,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,18.915267921984196,79.68701171875,13.405378341674805,6.648242020468459,7.240646868420431,1.2943862332135889e-05,-7.4568510530781396e-06,1.2943862332135889e-05,7.4568510530781396e-06,-3.7992692796251504e-06,-1.614998359400488e-05,1.0,0.0,13.88888888888889,14,9,5.611777305603027,RoadOption.STRAIGHT,69.07527923583984,13.375905990600586,3.144371129555073,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,18.965267922729254,79.3449935913086,13.404436111450195,6.969960612071883,6.918928276817006,4.882525876470298e-06,5.06000607103374e-06,4.882525876470298e-06,5.06000607103374e-06,-3.913231921615079e-05,-3.533304993652564e-05,1.0,0.0,13.88888888888889,14,9,5.2697577476501465,RoadOption.STRAIGHT,69.07527923583984,13.375905990600586,3.144371129555073,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,19.015267923474312,78.98500061035156,13.403422355651855,7.354583956968374,6.5343049319205155,1.8403852851688746e-05,-5.432848623776465e-05,1.8403852851688746e-05,5.432848623776465e-05,0.0002658024604897946,0.0003049347797059454,1.0,0.0,13.88888888888889,15,9,4.909763336181641,RoadOption.STRAIGHT,68.07528686523438,13.373126983642578,3.144371129555073,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,19.06526792421937,78.60678100585938,13.402345657348633,7.704211425747096,6.184677463141793,4.368023262514044e-05,-7.696535550394401e-05,4.368023262514044e-05,7.696535550394401e-05,0.00028281199047341943,1.7009529983624816e-05,1.0,0.0,13.88888888888889,15,10,5.531538486480713,RoadOption.STRAIGHT,68.07528686523438,13.373126983642578,3.144371129555073,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,19.115267924964428,78.2092514038086,13.401241302490234,8.112420239710938,5.776468649177952,4.350580461433447e-05,5.7790595654694243e-05,4.350580461433447e-05,5.7790595654694243e-05,-0.0005501548293977976,-0.000832966819871217,1.0,0.0,13.88888888888889,15,10,5.134007453918457,RoadOption.STRAIGHT,68.07528686523438,13.373126983642578,3.144371129555073,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,19.165267925709486,77.79283142089844,13.400090217590332,8.47265850946872,5.416230379420169,3.757483607044407e-05,2.663161090055155e-05,3.757483607044407e-05,2.663161090055155e-05,-0.00025599030777812004,0.00029416452161967754,1.0,0.0,13.88888888888889,16,10,4.717585563659668,RoadOption.STRAIGHT,67.07528686523438,13.37034797668457,3.144371129555073,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,19.215267926454544,77.35699462890625,13.398914337158203,8.878713843920803,5.010175044968086,1.9451972330195716e-06,-4.527373853147054e-05,1.9451972330195716e-06,4.527373853147054e-05,0.000365972489817068,0.000621962797595188,1.0,0.0,13.88888888888889,16,11,5.28174352645874,RoadOption.STRAIGHT,67.07528686523438,13.37034797668457,3.144371129555073,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,19.265267927199602,76.90172576904297,13.397663116455078,9.260904471238337,4.627984417650552,-1.1790886618633784e-05,-4.074636467876758e-05,1.1790886618633784e-05,4.074636467876758e-05,0.0003291941829957068,-3.6778306821361184e-05,1.0,0.0,13.88888888888889,17,11,4.826473236083984,RoadOption.STRAIGHT,66.07528686523438,13.367570877075195,3.144371129555073,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
