controller,error_provider,route_shape,route_min_length_m,route_length_tolerance,noise_lateral_std,noise_heading_std_deg,time,x,y,speed,speed_error,e_y,e_psi,abs_e_y,abs_e_psi,steer,steer_delta,throttle,brake,target_speed,route_index,closest_route_index,route_error,road_option,target_x,target_y,target_yaw,lqr_q_ey,lqr_q_ey_dot,lqr_q_epsi,lqr_q_epsi_dot,lqr_r,lqr_kp_long,lqr_ki_long,lqr_kd_long,lqr_max_steer,lqr_max_steer_rate,pid_lat_kp,pid_lat_ki,pid_lat_kd,pid_long_kp,pid_long_ki,pid_long_kd
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,44.40046198666096,102.74979400634766,108.12644958496094,13.039516270664983,0.8493726182239065,-0.492276551473134,0.09631322082271554,0.492276551473134,0.09631322082271554,-0.027785159647464752,0.19999999552965164,0.6081560850143433,0.0,13.88888888888889,356,350,4.839716911315918,RoadOption.STRAIGHT,105.42326354980469,97.44066619873047,-1.458860736701667,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,44.450461987406015,102.94330596923828,107.5029067993164,13.083607177096487,0.8052817117924018,-0.545467166393413,0.0882584901057708,0.545467166393413,0.0882584901057708,0.1722148358821869,0.19999999552965164,0.4802599251270294,0.0,13.88888888888889,356,351,5.217507362365723,RoadOption.STRAIGHT,105.42326354980469,97.44066619873047,-1.458860736701667,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,44.50046198815107,103.14032745361328,106.87844848632812,13.093922161693913,0.7949667271949767,-0.48598484459796754,0.07695377075254806,0.48598484459796754,0.07695377075254806,-0.027785159647464752,-0.19999999552965164,0.5146020650863647,0.0,13.88888888888889,357,351,4.562776565551758,RoadOption.STRAIGHT,105.52840423583984,96.41007995605469,-1.4794051602988654,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,44.55046198889613,103.3392562866211,106.25395202636719,13.117670467179392,0.7712184217094968,-0.5149931911817955,0.09748567749262271,0.5149931911817955,0.09748567749262271,-0.0956006646156311,-0.06781550496816635,0.4842330813407898,0.0,13.88888888888889,357,352,4.937551975250244,RoadOption.STRAIGHT,105.52840423583984,96.41007995605469,-1.4794051602988654,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,44.60046198964119,103.52706146240234,105.62535858154297,13.121264764597122,0.7676241242917676,-0.45196832392453645,0.09106998926856757,0.45196832392453645,0.09106998926856757,-0.23791258037090302,-0.1423119157552719,0.5062612891197205,0.0,13.88888888888889,358,352,4.281528472900391,RoadOption.STRAIGHT,105.61235046386719,95.37754821777344,-1.4999494507380091,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,44.65046199038625,103.69844818115234,104.99324035644531,13.08134699444519,0.8075418944437001,-0.4903398678805998,0.0946889588738764,0.4903398678805998,0.0946889588738764,-0.03791257366538048,0.20000000670552254,0.5824264883995056,0.0,13.88888888888889,359,353,4.656972408294678,RoadOption.STRAIGHT,105.67506408691406,94.34351348876953,-1.5204938743352074,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,44.700461991131306,103.85565185546875,104.35868072509766,13.092255670418375,0.7966332184705145,-0.5373683194839701,0.0937580509148388,0.5373683194839701,0.0937580509148388,0.16208742558956146,0.19999999925494194,0.5148966312408447,0.0,13.88888888888889,359,354,5.0335774421691895,RoadOption.STRAIGHT,105.67506408691406,94.34351348876953,-1.5204938743352074,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,44.750461991876364,104.01644897460938,103.72381591796875,13.096667461697642,0.7922214271912473,-0.4752211293500075,0.08571676916139914,0.4752211293500075,0.08571676916139914,-0.03791257366538048,-0.19999999925494194,0.5200347900390625,0.0,13.88888888888889,360,354,4.378719329833984,RoadOption.STRAIGHT,105.71651458740234,93.30841064453125,-1.5410381647743512,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,44.80046199262142,104.17972564697266,103.08908081054688,13.116430083635013,0.7724588052538763,-0.4971702288205768,0.10691100406457688,0.4971702288205768,0.10691100406457688,-0.18332427740097046,-0.14541170373558998,0.489759624004364,0.0,13.88888888888889,361,355,4.7533769607543945,RoadOption.STRAIGHT,105.7366943359375,92.27266693115234,-1.5615825883715495,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,44.85046199336648,104.3307876586914,102.451171875,13.101119245512104,0.7877696433767856,-0.5259554715204483,0.11960163244907696,0.5259554715204483,0.11960163244907696,-0.1258961260318756,0.05742815136909485,0.5410348176956177,0.0,13.88888888888889,361,356,5.128223419189453,RoadOption.STRAIGHT,105.7366943359375,92.27266693115234,-1.5615825883715495,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,44.90046199411154,104.4666976928711,101.81057739257812,13.100588648513376,0.7883002403755128,-0.46245167189388303,0.10209441091705962,0.46245167189388303,0.10209441091705962,-0.19447603821754456,-0.06857991218566895,0.5236169099807739,0.0,13.88888888888889,362,356,4.473381996154785,RoadOption.STRAIGHT,105.74369812011719,91.26850128173828,-1.5639765038754216,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,44.950461994856596,104.58573150634766,101.16727447509766,13.081095667793475,0.8077932210954142,-0.5045781143861289,0.09763295030090458,0.5045781143861289,0.09763295030090458,0.005523968022316694,0.20000000623986125,0.5580675005912781,0.0,13.88888888888889,363,357,4.84969425201416,RoadOption.STRAIGHT,105.75051879882812,90.26852416992188,-1.5639765038754216,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,45.000461995601654,104.69377899169922,100.52153778076172,13.109904110040707,0.7789847788481818,-0.5521363524671863,0.09457111399564022,0.5521363524671863,0.09457111399564022,0.19737590849399567,0.19185194047167897,0.4828207492828369,0.0,13.88888888888889,363,358,5.2253618240356445,RoadOption.STRAIGHT,105.75051879882812,90.26852416992188,-1.5639765038754216,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,45.05046199634671,104.80615234375,99.87548828125,13.110843726004244,0.778045162884645,-0.4857772083209943,0.08743783701586327,0.4857772083209943,0.08743783701586327,-0.0026240937877446413,-0.2000000022817403,0.515699565410614,0.0,13.88888888888889,364,358,4.569619655609131,RoadOption.STRAIGHT,105.75733184814453,89.2685546875,-1.5639765038754216,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,45.10046199709177,104.9203872680664,99.22940826416016,13.130566547427332,0.7583223414615574,-0.5080533720099993,0.10982570071961417,0.5080533720099993,0.10982570071961417,-0.19522228837013245,-0.1925981945823878,0.48132601380348206,0.0,13.88888888888889,365,359,4.943835258483887,RoadOption.STRAIGHT,105.76415252685547,88.2685775756836,-1.5639765038754216,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,45.15046199783683,105.02519989013672,98.58135223388672,13.122460935172219,0.7664279537166703,-0.534118731453662,0.12640015007983152,0.534118731453662,0.12640015007983152,-0.18918778002262115,0.0060345083475112915,0.519583523273468,0.0,13.88888888888889,365,360,5.318066596984863,RoadOption.STRAIGHT,105.76415252685547,88.2685775756836,-1.5639765038754216,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,45.200461998581886,105.11227416992188,97.9325180053711,13.07962771568487,0.8092611732040194,-0.4663882675714658,0.10941197864427021,0.4663882675714658,0.10941197864427021,-0.24302272498607635,-0.0538349449634552,0.5869565606117249,0.0,13.88888888888889,366,360,4.663419246673584,RoadOption.STRAIGHT,105.7709732055664,87.26860046386719,-1.5639765038754216,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
