controller,error_provider,route_shape,route_min_length_m,route_length_tolerance,noise_lateral_std,noise_heading_std_deg,time,x,y,speed,speed_error,e_y,e_psi,abs_e_y,abs_e_psi,steer,steer_delta,throttle,brake,target_speed,route_index,closest_route_index,route_error,road_option,target_x,target_y,target_yaw,lqr_q_ey,lqr_q_ey_dot,lqr_q_epsi,lqr_q_epsi_dot,lqr_r,lqr_kp_long,lqr_ki_long,lqr_kd_long,lqr_max_steer,lqr_max_steer_rate,mpc_horizon,mpc_q_y,mpc_q_psi,mpc_r_steer,mpc_r_steer_rate,mpc_kp_long,mpc_ki_long,mpc_kd_long,mpc_max_steer,mpc_max_steer_rate,pid_lat_kp,pid_lat_ki,pid_lat_kd,pid_long_kp,pid_long_ki,pid_long_kd
lqr,ground_truth,gentle_curve,700.0,0.05,0.1,1.0,27.542159035801888,-37.035221099853516,136.91726684570312,13.062946777891382,0.8259421109975076,-0.06626717178025265,-0.10164491925932495,0.06626717178025265,0.10164491925932495,0.5520529747009277,0.29999998211860657,0.4281767010688782,0.0,13.88888888888889,123,117,4.577012062072754,RoadOption.STRAIGHT,-26.459299087524414,137.04852294921875,0.006145776847575858,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,gentle_curve,700.0,0.05,0.1,1.0,27.592159036546946,-36.38331985473633,136.87533569335938,13.051220728376176,0.8376681605127132,-0.11219233580085727,-0.10540690893754956,0.11219233580085727,0.10540690893754956,0.6499999761581421,0.09794700145721436,0.566672146320343,0.0,13.88888888888889,124,118,4.926178932189941,RoadOption.STRAIGHT,-25.459318161010742,137.05467224121094,0.006145776847575858,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,gentle_curve,700.0,0.05,0.1,1.0,27.642159037292004,-35.73446273803711,136.8502960205078,12.950684562031446,0.9382043268574431,-0.1412228901964811,-0.08292022531259846,0.1412228901964811,0.08292022531259846,0.6499999761581421,0.0,0.7335659861564636,0.0,13.88888888888889,124,119,5.278099536895752,RoadOption.STRAIGHT,-25.459318161010742,137.05467224121094,0.006145776847575858,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,gentle_curve,700.0,0.05,0.1,1.0,27.69215903803706,-35.092525482177734,136.8522186279297,12.798955115572216,1.0899337733166732,-0.143245326414607,-0.03828453856654335,0.143245326414607,0.03828453856654335,0.3499999940395355,-0.29999998211860657,0.8860356211662292,0.0,13.88888888888889,125,119,4.636486530303955,RoadOption.STRAIGHT,-24.45933723449707,137.06080627441406,0.006145776847575858,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,gentle_curve,700.0,0.05,0.1,1.0,27.74215903878212,-34.45574188232422,136.88531494140625,12.797544056942396,1.0913448319464933,-0.1140667948403745,0.020350770174058397,0.1140667948403745,0.020350770174058397,0.05000000074505806,-0.29999999329447746,0.7065001726150513,0.0,13.88888888888889,126,120,4.998599052429199,RoadOption.STRAIGHT,-23.4593563079834,137.06695556640625,0.006145776847575858,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,gentle_curve,700.0,0.05,0.1,1.0,27.792159039527178,-33.81489562988281,136.9412384033203,12.951491758661207,0.9373971302276818,-0.062069839604591136,0.07596400693341998,0.062069839604591136,0.07596400693341998,-0.25,-0.30000000074505806,0.42770102620124817,0.0,13.88888888888889,126,121,5.3564772605896,RoadOption.STRAIGHT,-23.4593563079834,137.06695556640625,0.006145776847575858,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,gentle_curve,700.0,0.05,0.1,1.0,27.842159040272236,-33.166534423828125,137.00186157226562,13.057988274152764,0.8309006147361249,-0.0054324737467137015,0.10847685956175956,0.0054324737467137015,0.10847685956175956,-0.550000011920929,-0.30000001192092896,0.42074453830718994,0.0,13.88888888888889,127,121,4.707399368286133,RoadOption.STRAIGHT,-22.459375381469727,137.07310485839844,0.006145776847575858,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,gentle_curve,700.0,0.05,0.1,1.0,27.892159041017294,-32.51557540893555,137.05589294433594,13.052032070764202,0.8368568181246872,0.04459369934817092,0.1126769725288157,0.04459369934817092,0.1126769725288157,-0.6499999761581421,-0.09999996423721313,0.5592615604400635,0.0,13.88888888888889,127,122,5.056313991546631,RoadOption.STRAIGHT,-22.459375381469727,137.07310485839844,0.006145776847575858,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,gentle_curve,700.0,0.05,0.1,1.0,27.942159041762352,-31.867164611816406,137.09336853027344,12.954414903477842,0.9344739854110475,0.07808361457190033,0.09049830845106843,0.07808361457190033,0.09049830845106843,-0.6499999761581421,0.0,0.7278249859809875,0.0,13.88888888888889,128,122,4.408179759979248,RoadOption.STRAIGHT,-21.459394454956055,137.07925415039062,0.006145776847575858,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,gentle_curve,700.0,0.05,0.1,1.0,27.99215904250741,-31.225072860717773,137.10398864746094,12.803722766328702,1.085166122560187,0.08475384849684696,0.046069195620629166,0.08475384849684696,0.046069195620629166,-0.3499999940395355,0.29999998211860657,0.8819302320480347,0.0,13.88888888888889,129,123,4.766097068786621,RoadOption.STRAIGHT,-20.459413528442383,137.08538818359375,0.006145776847575858,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,gentle_curve,700.0,0.05,0.1,1.0,28.042159043252468,-30.5875244140625,137.08355712890625,12.801423315689771,1.0874655731991183,0.060400955056285836,-0.012409531731442325,0.060400955056285836,0.012409531731442325,-0.05000000074505806,0.29999999329447746,0.7052386999130249,0.0,13.88888888888889,129,124,5.1282877922058105,RoadOption.STRAIGHT,-20.459413528442383,137.08538818359375,0.006145776847575858,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,gentle_curve,700.0,0.05,0.1,1.0,28.092159043997526,-29.945541381835938,137.04046630859375,12.953546536204193,0.935342352684696,0.013365488904872864,-0.0679289960921099,0.013365488904872864,0.0679289960921099,0.25,0.30000000074505806,0.42865756154060364,0.0,13.88888888888889,130,124,4.486246109008789,RoadOption.STRAIGHT,-19.45943260192871,137.09153747558594,0.006145776847575858,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,gentle_curve,700.0,0.05,0.1,1.0,28.142159044742584,-29.296031951904297,136.99288940429688,13.05860462841502,0.8302842604738689,-0.03819052820155029,-0.10038711659885857,0.03819052820155029,0.10038711659885857,0.550000011920929,0.30000001192092896,0.42210084199905396,0.0,13.88888888888889,131,125,4.837172031402588,RoadOption.STRAIGHT,-18.459449768066406,137.09768676757812,0.006145776847575858,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14
