controller,error_provider,route_shape,route_min_length_m,route_length_tolerance,noise_lateral_std,noise_heading_std_deg,time,x,y,speed,speed_error,e_y,e_psi,abs_e_y,abs_e_psi,steer,steer_delta,throttle,brake,target_speed,route_index,closest_route_index,route_error,road_option,target_x,target_y,target_yaw,lqr_q_ey,lqr_q_ey_dot,lqr_q_epsi,lqr_q_epsi_dot,lqr_r,lqr_kp_long,lqr_ki_long,lqr_kd_long,lqr_max_steer,lqr_max_steer_rate,pid_lat_kp,pid_lat_ki,pid_lat_kd,pid_long_kp,pid_long_ki,pid_long_kd
lqr,ground_truth,straight,700.0,0.05,0.1,1.0,39.58577195554972,-89.58455657958984,24.699535369873047,7.755855560685158,0.5774777726481757,0.2644257268377219,-0.07011444407920342,0.2644257268377219,0.07011444407920342,0.05733565241098404,-0.02994372695684433,0.40587490797042847,0.0,8.333333333333334,218,212,4.645753860473633,RoadOption.STRAIGHT,-78.94564056396484,24.464670181274414,0.0027785214782865796,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,straight,700.0,0.05,0.1,1.0,39.635771956294775,-89.19639587402344,24.684024810791016,7.782089137890362,0.5512441954429717,0.24783623783047148,-0.05895525399598567,0.24783623783047148,0.05895525399598567,0.03157038614153862,-0.02576526626944542,0.3492662310600281,0.0,8.333333333333334,218,213,5.255956649780273,RoadOption.STRAIGHT,-78.94564056396484,24.464670181274414,0.0027785214782865796,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,straight,700.0,0.05,0.1,1.0,39.68577195703983,-88.80792999267578,24.66934585571289,7.7704785273453805,0.5628548059879535,0.23207798000831323,-0.05105791609946486,0.23207798000831323,0.05105791609946486,0.014077548868954182,-0.01749283727258444,0.40164563059806824,0.0,8.333333333333334,219,213,4.867222785949707,RoadOption.STRAIGHT,-77.94564819335938,24.46744728088379,0.0027785214782865796,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,straight,700.0,0.05,0.1,1.0,39.73577195778489,-88.41911315917969,24.654672622680664,7.790721209665574,0.5426121236677597,0.21632396955710628,-0.046166741957857305,0.21632396955710628,0.046166741957857305,0.0058252327144145966,-0.008252316154539585,0.35127606987953186,0.0,8.333333333333334,219,214,5.477181911468506,RoadOption.STRAIGHT,-77.94564819335938,24.46744728088379,0.0027785214782865796,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,straight,700.0,0.05,0.1,1.0,39.78577195852995,-88.03031921386719,24.639856338500977,7.774460619533463,0.5588727137998708,0.2004274716318883,-0.0434258248863264,0.2004274716318883,0.0434258248863264,0.005049324594438076,-0.0007759081199765205,0.4048363268375397,0.0,8.333333333333334,219,214,5.088106155395508,RoadOption.STRAIGHT,-77.94564819335938,24.46744728088379,0.0027785214782865796,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,straight,700.0,0.05,0.1,1.0,39.83577195927501,-87.64137268066406,24.625125885009766,7.792229565612521,0.5411037677208128,0.1846163800956469,-0.04184656203753079,0.1846163800956469,0.04184656203753079,0.00888744555413723,0.003838120959699154,0.3533395230770111,0.0,8.333333333333334,220,214,4.698881149291992,RoadOption.STRAIGHT,-76.94564819335938,24.470226287841797,0.0027785214782865796,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,straight,700.0,0.05,0.1,1.0,39.885771960020065,-87.2525405883789,24.610902786254883,7.774671564850977,0.5586617684823567,0.16931248098581633,-0.04057303840425508,0.16931248098581633,0.04057303840425508,0.01437527034431696,0.0054878247901797295,0.4062666594982147,0.0,8.333333333333334,220,215,5.309165954589844,RoadOption.STRAIGHT,-76.94564819335938,24.470226287841797,0.0027785214782865796,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,straight,700.0,0.05,0.1,1.0,39.93577196076512,-86.86354064941406,24.597631454467773,7.791706954465252,0.5416263788680817,0.1549603571324728,-0.038997512303364346,0.1549603571324728,0.038997512303364346,0.019075751304626465,0.0047004809603095055,0.3545333743095398,0.0,8.333333333333334,221,215,4.919945240020752,RoadOption.STRAIGHT,-75.9456558227539,24.473005294799805,0.0027785214782865796,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,straight,700.0,0.05,0.1,1.0,39.98577196151018,-86.47466278076172,24.58556365966797,7.77376879351977,0.5595645398135636,0.141813512610462,-0.03692556881409326,0.141813512610462,0.03692556881409326,0.021852916106581688,0.002777164801955223,0.4072645306587219,0.0,8.333333333333334,221,216,5.530476093292236,RoadOption.STRAIGHT,-75.9456558227539,24.473005294799805,0.0027785214782865796,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,straight,700.0,0.05,0.1,1.0,40.03577196225524,-86.08563995361328,24.574859619140625,7.790700512650689,0.5426328206826447,0.13002860651168516,-0.034336980395725636,0.13002860651168516,0.034336980395725636,0.022214064374566078,0.00036114826798439026,0.3552616238594055,0.0,8.333333333333334,221,216,5.141310214996338,RoadOption.STRAIGHT,-75.9456558227539,24.473005294799805,0.0027785214782865796,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,straight,700.0,0.05,0.1,1.0,40.0857719630003,-85.69674682617188,24.5654296875,7.772980268356826,0.5603530649765078,0.11951816475441229,-0.031470355878958856,0.11951816475441229,0.031470355878958856,0.020725734531879425,-0.0014883298426866531,0.40747612714767456,0.0,8.333333333333334,222,216,4.752303600311279,RoadOption.STRAIGHT,-74.94566345214844,24.475784301757812,0.0027785214782865796,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,straight,700.0,0.05,0.1,1.0,40.135771963745356,-85.30769348144531,24.557153701782227,7.790294174863103,0.543039158470231,0.11016074097143999,-0.028534487093255567,0.11016074097143999,0.028534487093255567,0.018009476363658905,-0.00271625816822052,0.355046808719635,0.0,8.333333333333334,222,217,5.3629069328308105,RoadOption.STRAIGHT,-74.94566345214844,24.475784301757812,0.0027785214782865796,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,straight,700.0,0.05,0.1,1.0,40.185771964490414,-84.91875457763672,24.5497989654541,7.7728569191429076,0.5604764141904264,0.10172535932577416,-0.0257765153877747,0.10172535932577416,0.0257765153877747,0.014981747604906559,-0.003027728758752346,0.4072105586528778,0.0,8.333333333333334,223,217,4.973898887634277,RoadOption.STRAIGHT,-73.94566345214844,24.478561401367188,0.0027785214782865796,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,straight,700.0,0.05,0.1,1.0,40.23577196523547,-84.5296630859375,24.54319190979004,7.790355804444163,0.5429775288891712,0.09403673196383962,-0.023317350356601096,0.09403673196383962,0.023317350356601096,0.01219581626355648,-0.0027859313413500786,0.3547878563404083,0.0,8.333333333333334,223,218,5.5845746994018555,RoadOption.STRAIGHT,-73.94566345214844,24.478561401367188,0.0027785214782865796,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,straight,700.0,0.05,0.1,1.0,40.28577196598053,-84.14070892333984,24.53716278076172,7.772952129624971,0.5603812037083626,0.08692691010419863,-0.021225175165424215,0.08692691010419863,0.021225175165424215,0.010064610280096531,-0.0021312059834599495,0.40711313486099243,0.0,8.333333333333334,223,218,5.1955742835998535,RoadOption.STRAIGHT,-73.94566345214844,24.478561401367188,0.0027785214782865796,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,straight,700.0,0.05,0.1,1.0,40.33577196672559,-83.75160217285156,24.53160858154297,7.79042933061716,0.542904002716174,0.08029159225267105,-0.019469616253951827,0.08029159225267105,0.019469616253951827,0.008659814484417439,-0.0014047957956790924,0.354769766330719,0.0,8.333333333333334,224,218,4.806427955627441,RoadOption.STRAIGHT,-72.94566345214844,24.481340408325195,0.0027785214782865796,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,straight,700.0,0.05,0.1,1.0,40.385771967470646,-83.36261749267578,24.526466369628906,7.772976135075107,0.5603571982582265,0.07407000710531066,-0.017995289234186806,0.07407000710531066,0.017995289234186806,0.00790789071470499,-0.0007519237697124481,0.40715816617012024,0.0,8.333333333333334,224,219,5.417291164398193,RoadOption.STRAIGHT,-72.94566345214844,24.481340408325195,0.0027785214782865796,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,straight,700.0,0.05,0.1,1.0,40.435771968215704,-82.9734878540039,24.521728515625,7.790414472121864,0.5429188612114695,0.06825096772223431,-0.01670951714049096,0.06825096772223431,0.01670951714049096,0.007560318801552057,-0.0003475719131529331,0.35482531785964966,0.0,8.333333333333334,224,219,5.028132915496826,RoadOption.STRAIGHT,-72.94566345214844,24.481340408325195,0.0027785214782865796,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,straight,700.0,0.05,0.1,1.0,40.48577196896076,-82.58450317382812,24.517385482788086,7.772937568369533,0.5603957649638005,0.06282715075188218,-0.015549443129355467,0.06282715075188218,0.015549443129355467,0.007424222305417061,-0.00013609649613499641,0.40720975399017334,0.0,8.333333333333334,225,219,4.639124393463135,RoadOption.STRAIGHT,-71.94567108154297,24.484119415283203,0.0027785214782865796,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,straight,700.0,0.05,0.1,1.0,40.53577196970582,-82.19535827636719,24.51344871520996,7.790365313581422,0.5429680197519122,0.0578086739778815,-0.014449558639449744,0.0578086739778815,0.014449558639449744,0.007275784388184547,-0.00014843791723251343,0.35486751794815063,0.0,8.333333333333334,225,220,5.2498884201049805,RoadOption.STRAIGHT,-71.94567108154297,24.484119415283203,0.0027785214782865796,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,straight,700.0,0.05,0.1,1.0,40.58577197045088,-81.80638122558594,24.509906768798828,7.772895187268647,0.560438146064687,0.05318596153945557,-0.01339601315251171,0.05318596153945557,0.01339601315251171,0.007045386359095573,-0.000230398029088974,0.4072270393371582,0.0,8.333333333333334,226,220,4.86089563369751,RoadOption.STRAIGHT,-70.9456787109375,24.48689842224121,0.0027785214782865796,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,straight,700.0,0.05,0.1,1.0,40.635771971195936,-81.41724395751953,24.50675392150879,7.790333826817355,0.5429995065159785,0.04895140202753928,-0.01236962982809775,0.04895140202753928,0.01236962982809775,0.006658792030066252,-0.00038659432902932167,0.35487332940101624,0.0,8.333333333333334,226,221,5.4716925621032715,RoadOption.STRAIGHT,-70.9456787109375,24.48689842224121,0.0027785214782865796,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,straight,700.0,0.05,0.1,1.0,40.685771971940994,-81.02824401855469,24.503957748413086,7.772876492978404,0.5604568403549299,0.04507439643056428,-0.011389585506651478,0.04507439643056428,0.011389585506651478,0.00617252616211772,-0.0004862658679485321,0.4072228968143463,0.0,8.333333333333334,226,221,5.0826826095581055,RoadOption.STRAIGHT,-70.9456787109375,24.48689842224121,0.0027785214782865796,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,straight,700.0,0.05,0.1,1.0,40.73577197268605,-80.63910675048828,24.501493453979492,7.790328666130899,0.5430046672024353,0.04152888664325039,-0.010459078582223835,0.04152888664325039,0.010459078582223835,0.005608125124126673,-0.0005644010379910469,0.35486018657684326,0.0,8.333333333333334,227,221,4.693537712097168,RoadOption.STRAIGHT,-69.9456787109375,24.489675521850586,0.0027785214782865796,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,straight,700.0,0.05,0.1,1.0,40.78577197343111,-80.2500991821289,24.499324798583984,7.772879403740006,0.5604539295933275,0.03827887559975574,-0.009599941774266707,0.03827887559975574,0.009599941774266707,0.005048912949860096,-0.0005592121742665768,0.4072114825248718,0.0,8.333333333333334,227,222,5.304488658905029,RoadOption.STRAIGHT,-69.9456787109375,24.489675521850586,0.0027785214782865796,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,straight,700.0,0.05,0.1,1.0,40.83577197417617,-79.86095428466797,24.49741554260254,7.790336032556291,0.542997300777043,0.035288380923683554,-0.008810580827167236,0.035288380923683554,0.008810580827167236,0.004529071040451527,-0.0005198419094085693,0.3548504114151001,0.0,8.333333333333334,228,222,4.915338516235352,RoadOption.STRAIGHT,-68.9456787109375,24.492454528808594,0.0027785214782865796,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,straight,700.0,0.05,0.1,1.0,40.88577197492123,-79.4719467163086,24.495738983154297,7.772887521422651,0.5604458119106832,0.032532392467600285,-0.00809845155168043,0.032532392467600285,0.00809845155168043,0.004085354972630739,-0.00044371606782078743,0.4072057008743286,0.0,8.333333333333334,228,223,5.526310443878174,RoadOption.STRAIGHT,-68.9456787109375,24.492454528808594,0.0027785214782865796,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,straight,700.0,0.05,0.1,1.0,40.935771975666285,-79.08279418945312,24.49427604675293,7.7903430024517295,0.5429903308816044,0.029988194450363923,-0.00745343393566289,0.029988194450363923,0.00745343393566289,0.0037125933449715376,-0.0003727616276592016,0.35484760999679565,0.0,8.333333333333334,228,223,5.137155055999756,RoadOption.STRAIGHT,-68.9456787109375,24.492454528808594,0.0027785214782865796,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
